,startTimeLocal,activityName,distance,calories,movingDuration,averageHR,maxHR,averageSpeed,maxSpeed,elevationGain,elevationLoss,minActivityLapDuration,lapCount,type
0,2020-12-20 10:08:00,Roseville Cycling,26.81,768,1:31:40,131,182,17.6,41.9,508,445,11:15.2,4,Cycling
1,2020-12-20 15:13:00,Placer County Cycling,6.8,159,0:16:36,124,170,24.6,41.7,45,101,16:35.9,1,Cycling
2,2020-12-21 14:45:00,Roseville Cycling,24.66,709,1:16:05,133,186,19.4,37.2,296,220,02:16.8,4,Cycling
3,2020-12-21 18:34:00,Placer County Cycling,13.95,458,0:33:51,153,183,24.7,43.9,151,236,13:08.2,2,Cycling
4,2020-12-22 15:44:00,Roseville Running,9.68,906,1:32:35,132,194,9:34,2:22,158,141,00:04.9,7,Running
5,2020-12-24 12:20:00,Roseville Cycling,12.67,821,0:52:14,168,194,14.6,40.3,188,177,25:32.6,2,Cycling
6,2020-12-25 15:02:00,Roseville Running,8.32,653,0:42:23,167,189,5:06,4:08,275,255,01:17.6,6,Running
7,2020-12-30 08:46:00,Placer County Cycling,120.08,"2,374",5:38:34,122,177,21.3,40.4,934,"1,135",18:17.1,15,Cycling
8,2021-01-01 10:00:00,El Dorado County Track Me,6.83,534,1:36:55,105,149,4.2,16.5,293,321,36:55.3,1,Me
9,2021-01-18 12:27:00,Vancouver Cycling,26.33,583,1:20:21,116,169,19.7,33.9,198,176,06:46.1,4,Cycling
10,2021-01-19 20:09:00,Vancouver Running,6.88,635,0:39:43,173,194,5:46,4:19,203,213,02:04.5,5,Running
11,2021-01-21 19:21:00,Vancouver Running,11.36,921,1:10:01,159,183,6:10,3:48,222,270,00:24.0,8,Running
12,2021-01-23 18:36:00,Vancouver Running,12.9,"1,116",1:14:48,169,196,5:48,4:00,509,533,00:07.3,9,Running
13,2021-01-25 08:13:00,Vancouver Cycling,12.45,540,0:40:54,156,183,18.3,31.6,119,81,17:18.3,2,Cycling
14,2021-01-25 19:01:00,Vancouver Cycling,12.3,447,0:50:24,131,179,14.6,35.9,88,111,24:03.1,2,Cycling
15,2021-01-27 08:06:00,Vancouver Cycling,12.82,484,0:37:26,154,177,20.5,34.7,120,85,15:08.5,2,Cycling
16,2021-01-27 15:05:00,Vancouver Cycling,13.92,477,0:40:56,147,184,20.4,46.1,82,120,18:22.3,2,Cycling
17,2021-01-27 18:04:00,Vancouver Running,5.23,375,0:26:54,156,174,5:09,3:41,64,68,02:04.0,4,Running
18,2021-01-31 13:02:00,Vancouver Running,16.45,"1,455",1:38:06,176,198,5:58,4:06,527,490,01:45.6,11,Running
19,2021-02-02 07:30:00,Vancouver Running,7.64,706,0:51:28,165,180,6:44,4:50,187,180,06:19.2,5,Running
20,2021-02-03 19:31:00,Vancouver Running,5.05,408,0:37:03,150,182,7:20,4:46,66,72,02:26.0,4,Running
21,2021-02-06 11:51:00,West Vancouver Track Me,15.61,448,1:43:02,96,132,9.1,44.1,"1,859","2,228",43:02.4,1,Me
22,2021-02-08 08:11:00,Vancouver Cycling,12.72,404,0:35:58,145,177,21.2,35.6,128,88,14:17.8,2,Cycling
23,2021-02-08 18:20:00,Vancouver Cycling,12.12,366,0:34:12,140,175,21.3,43.6,79,123,10:18.9,2,Cycling
24,2021-02-09 18:50:00,Vancouver Running,8.29,705,0:54:09,157,173,6:32,3:23,357,370,01:09.7,6,Running
25,2021-02-10 08:22:00,Vancouver Cycling,12.85,269,0:38:30,116,134,20,35.4,125,91,15:50.1,2,Cycling
26,2021-02-10 14:31:00,Vancouver Cycling,18.45,"1,086",4:21:45,92,158,4.2,39,147,203,10:11.3,3,Cycling
27,2021-02-11 19:31:00,Vancouver Running,9.09,725,0:54:12,161,175,5:58,4:19,202,206,04:56.4,6,Running
28,2021-02-12 20:02:00,Vancouver Cycling,44.96,"1,053",2:10:16,133,170,20.7,37.1,325,328,11:46.1,6,Cycling
29,2021-02-16 10:42:00,Vancouver Running,6.892959961,558,39:27.8,162,183,5:55,3:58,240,249,01:59.8,5,Running
30,2021-02-17 10:18:59,Vancouver Running,14.67391015625,1104.0,1:23:36.632023,162.0,181.0,5:44,4:36,562.0,551.0,0:00:57.938999,10,Running
